# UNITS: metal COMMENT: V6A initial electron temperature grid
# ix iy iz Te_K
2 1 3 300.000000
2 1 4 300.000000
2 1 5 300.000000
2 1 6 300.000000
2 1 7 300.000000
2 1 8 300.000000
2 1 9 300.000000
2 1 10 300.000000
2 1 11 300.000000
2 1 12 300.000000
2 1 13 300.000000
2 1 14 300.000000
2 1 15 300.000000
2 1 16 300.000000
2 1 17 300.000000
2 1 18 300.000000
2 1 19 300.000000
2 1 20 300.000000
2 1 21 300.000000
2 1 22 300.000000
2 1 23 300.000000
2 1 24 300.000000
2 1 25 300.000000
2 1 26 300.000000
2 1 27 300.000000
2 1 28 300.000000
2 2 1 300.000000
2 2 2 300.000000
2 2 3 300.000000
2 2 4 300.000000
2 2 5 300.000000
2 2 6 300.000000
2 2 7 300.000000
2 2 8 300.000000
2 2 9 300.000000
2 2 10 300.000000
2 2 11 300.000000
2 2 12 300.000000
2 2 13 300.000000
2 2 14 300.000000
2 2 15 300.000000
2 2 16 300.000000
2 2 17 300.000000
2 2 18 300.000000
2 2 19 300.000000
2 2 20 300.000000
2 2 21 300.000000
2 2 22 300.000000
2 2 23 300.000000
2 2 24 300.000000
2 2 25 300.000000
2 2 26 300.000000
2 2 27 300.000000
2 2 28 300.000000
2 3 1 300.000000
2 3 2 300.000000
2 3 3 300.000000
2 3 4 300.000000
2 3 5 300.000000
2 3 6 300.000000
2 3 7 300.000000
2 3 8 300.000000
2 3 9 300.000000
2 3 10 300.000000
2 3 11 300.000000
2 3 12 300.000000
2 3 13 300.000000
2 3 14 300.000000
2 3 15 300.000000
2 3 16 300.000000
2 3 17 300.000000
2 3 18 300.000000
2 3 19 300.000000
2 3 20 300.000000
2 3 21 300.000000
2 3 22 300.000000
2 3 23 300.000000
2 3 24 300.000000
2 3 25 300.000000
2 3 26 300.000000
2 3 27 300.000000
2 3 28 300.000000
2 4 1 300.000000
2 4 2 300.000000
2 4 3 300.000000
2 4 4 300.000000
2 4 5 300.000000
2 4 6 300.000000
2 4 7 300.000000
2 4 8 300.000000
2 4 9 300.000000
2 4 10 300.000000
2 4 11 300.000000
2 4 12 300.000000
2 4 13 300.000000
2 4 14 300.000000
2 4 15 300.000000
2 4 16 300.000000
2 4 17 300.000000
2 4 18 300.000000
2 4 19 300.000000
2 4 20 300.000000
2 4 21 300.000000
2 4 22 300.000000
2 4 23 300.000000
2 4 24 300.000000
2 4 25 300.000000
2 4 26 300.000000
2 4 27 300.000000
2 4 28 300.000000
3 1 1 300.000000
3 1 2 300.000000
3 1 3 300.000000
3 1 4 300.000000
3 1 5 300.000000
3 1 6 300.000000
3 1 7 300.000000
3 1 8 300.000000
3 1 9 300.000000
3 1 10 300.000000
3 1 11 300.000000
3 1 12 300.000000
3 1 13 300.000000
3 1 14 300.000000
3 1 15 300.000000
3 1 16 300.000000
3 1 17 300.000000
3 1 18 300.000000
3 1 19 300.000000
3 1 20 300.000000
3 1 21 300.000000
3 1 22 300.000000
3 1 23 300.000000
3 1 24 300.000000
3 1 25 300.000000
3 1 26 300.000000
3 1 27 300.000000
3 1 28 300.000000
3 2 1 300.000000
3 2 2 300.000000
3 2 3 300.000000
3 2 4 300.000000
3 2 5 300.000000
3 2 6 300.000000
3 2 7 300.000000
3 2 8 300.000000
3 2 9 300.000000
3 2 10 300.000000
3 2 11 300.000000
3 2 12 300.000000
3 2 13 300.000000
3 2 14 300.000000
3 2 15 300.000000
3 2 16 300.000000
3 2 17 300.000000
3 2 18 300.000000
3 2 19 300.000000
3 2 20 300.000000
3 2 21 300.000000
3 2 22 300.000000
3 2 23 300.000000
3 2 24 300.000000
3 2 25 300.000000
3 2 26 300.000000
3 2 27 300.000000
3 2 28 300.000000
3 3 1 300.000000
3 3 2 300.000000
3 3 3 300.000000
3 3 4 300.000000
3 3 5 300.000000
3 3 6 300.000000
3 3 7 300.000000
3 3 8 300.000000
3 3 9 300.000000
3 3 10 300.000000
3 3 11 300.000000
3 3 12 300.000000
3 3 13 300.000000
3 3 14 300.000000
3 3 15 300.000000
3 3 16 300.000000
3 3 17 300.000000
3 3 18 300.000000
3 3 19 300.000000
3 3 20 300.000000
3 3 21 300.000000
3 3 22 300.000000
3 3 23 300.000000
3 3 24 300.000000
3 3 25 300.000000
3 3 26 300.000000
3 3 27 300.000000
3 3 28 300.000000
3 4 1 300.000000
3 4 2 300.000000
3 4 3 300.000000
3 4 4 300.000000
3 4 5 300.000000
3 4 6 300.000000
3 4 7 300.000000
3 4 8 300.000000
3 4 9 300.000000
3 4 10 300.000000
3 4 11 300.000000
3 4 12 300.000000
3 4 13 300.000000
3 4 14 300.000000
3 4 15 300.000000
3 4 16 300.000000
3 4 17 300.000000
3 4 18 300.000000
3 4 19 300.000000
3 4 20 300.000000
3 4 21 300.000000
3 4 22 300.000000
3 4 23 300.000000
3 4 24 300.000000
3 4 25 300.000000
3 4 26 300.000000
3 4 27 300.000000
3 4 28 300.000000
4 1 1 300.000000
4 1 2 300.000000
4 1 3 300.000000
4 1 4 300.000000
4 1 5 300.000000
4 1 6 300.000000
4 1 7 300.000000
4 1 8 300.000000
4 1 9 300.000000
4 1 10 300.000000
4 1 11 300.000000
4 1 12 300.000000
4 1 13 300.000000
4 1 14 300.000000
4 1 15 300.000000
4 1 16 300.000000
4 1 17 300.000000
4 1 18 300.000000
4 1 19 300.000000
4 1 20 300.000000
4 1 21 300.000000
4 1 22 300.000000
4 1 23 300.000000
4 1 24 300.000000
4 1 25 300.000000
4 1 26 300.000000
4 1 27 300.000000
4 1 28 300.000000
4 2 1 300.000000
4 2 2 300.000000
4 2 3 300.000000
4 2 4 300.000000
4 2 5 300.000000
4 2 6 300.000000
4 2 7 300.000000
4 2 8 300.000000
4 2 9 300.000000
4 2 10 300.000000
4 2 11 300.000000
4 2 12 300.000000
4 2 13 300.000000
4 2 14 300.000000
4 2 15 300.000000
4 2 16 300.000000
4 2 17 300.000000
4 2 18 300.000000
4 2 19 300.000000
4 2 20 300.000000
4 2 21 300.000000
4 2 22 300.000000
4 2 23 300.000000
4 2 24 300.000000
4 2 25 300.000000
4 2 26 300.000000
4 2 27 300.000000
4 2 28 300.000000
4 3 1 300.000000
4 3 2 300.000000
4 3 3 300.000000
4 3 4 300.000000
4 3 5 300.000000
4 3 6 300.000000
4 3 7 300.000000
4 3 8 300.000000
4 3 9 300.000000
4 3 10 300.000000
4 3 11 300.000000
4 3 12 300.000000
4 3 13 300.000000
4 3 14 300.000000
4 3 15 300.000000
4 3 16 300.000000
4 3 17 300.000000
4 3 18 300.000000
4 3 19 300.000000
4 3 20 300.000000
4 3 21 300.000000
4 3 22 300.000000
4 3 23 300.000000
4 3 24 300.000000
4 3 25 300.000000
4 3 26 300.000000
4 3 27 300.000000
4 3 28 300.000000
4 4 1 300.000000
4 4 2 300.000000
4 4 3 300.000000
4 4 4 300.000000
4 4 5 300.000000
4 4 6 300.000000
4 4 7 300.000000
4 4 8 300.000000
4 4 9 300.000000
4 4 10 300.000000
4 4 11 300.000000
4 4 12 300.000000
4 4 13 300.000000
4 4 14 300.000000
4 4 15 300.000000
4 4 16 300.000000
4 4 17 300.000000
4 4 18 300.000000
4 4 19 300.000000
4 4 20 300.000000
4 4 21 300.000000
4 4 22 300.000000
4 4 23 300.000000
4 4 24 300.000000
4 4 25 300.000000
4 4 26 300.000000
4 4 27 300.000000
4 4 28 300.000000
